epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,16752.4,1.0786,0.53989,0.96484,0.89945,0.74873,0.82832,0.54225,1.10385,0.4968,0.96285,0.001189,0.001189,0.001189
91,17074.2,1.05742,0.49778,0.94667,0.89986,0.74863,0.82796,0.54236,1.10371,0.49666,0.96283,0.00109,0.00109,0.00109
92,17345.4,1.05318,0.49335,0.94503,0.8975,0.74988,0.82813,0.54246,1.10352,0.49647,0.9627,0.000991,0.000991,0.000991
93,17585.3,1.0491,0.48739,0.942,0.89767,0.75036,0.82864,0.54268,1.10339,0.49621,0.96259,0.000892,0.000892,0.000892
94,17799.7,1.04554,0.48397,0.94213,0.8972,0.75079,0.82855,0.54252,1.10334,0.49608,0.96255,0.000793,0.000793,0.000793
95,18017.9,1.04297,0.47985,0.94168,0.89674,0.75056,0.82824,0.54268,1.10329,0.49599,0.96253,0.000694,0.000694,0.000694
96,18227.2,1.04213,0.48071,0.94065,0.89655,0.75066,0.82831,0.54253,1.10323,0.49592,0.96252,0.000595,0.000595,0.000595
97,18426.4,1.03895,0.47644,0.9407,0.89704,0.74998,0.82832,0.54254,1.10316,0.49586,0.9625,0.000496,0.000496,0.000496
98,18633.6,1.03495,0.4736,0.94,0.89668,0.74999,0.82814,0.54273,1.10315,0.49571,0.96248,0.000397,0.000397,0.000397
99,18857.2,1.03693,0.47318,0.93959,0.89834,0.74989,0.82807,0.54272,1.10314,0.49563,0.96248,0.000298,0.000298,0.000298
100,19062.6,1.03239,0.46975,0.93982,0.89854,0.74986,0.82765,0.54275,1.10317,0.4956,0.96249,0.000199,0.000199,0.000199
